Name;Department;Latitude;Longitude;Cover_url;Link;Label
Brousse-le-Château;Aveyron;43.9974;2.6261;https://media.les-plus-beaux-villages-de-france.org/photos/s1688/brousse-le-chateau-depuis-le-pont.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/brousse-le-chateau/;Les Plus Beaux Villages de France
Bruniquel;Tarn-et-Garonne;44.0559;1.6658;https://media.les-plus-beaux-villages-de-france.org/photos/s1689/bruniquel-vue-chateau-et-falaise.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/bruniquel/;Les Plus Beaux Villages de France
Camon;Ariège;43.0218;1.9673;https://media.les-plus-beaux-villages-de-france.org/photos/s1690/camon-vue-automne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/camon/;Les Plus Beaux Villages de France
Candes-Saint-Martin;Indre-et-Loire;47.2113;0.0737;https://media.les-plus-beaux-villages-de-france.org/photos/s1594/candes-saint-martin-fenetre-renaissance.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/candes-saint-martin/;Les Plus Beaux Villages de France
Capdenac-le-Haut;Lot;44.5806;2.0699;https://media.les-plus-beaux-villages-de-france.org/photos/s1691/capdenac-le-haut-sommet-donjon.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/capdenac-le-haut/;Les Plus Beaux Villages de France
Cardaillac;Lot;44.6796;1.9979;https://media.les-plus-beaux-villages-de-france.org/photos/s1692/cardaillac-vue-haute.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/cardaillac/;Les Plus Beaux Villages de France
Carennac;Lot;44.919;1.7324;https://media.les-plus-beaux-villages-de-france.org/photos/s1693/carennac-tympan-eglise.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/carennac/;Les Plus Beaux Villages de France
Castelnau-de-Montmiral;Tarn;43.9659;1.8215;https://media.les-plus-beaux-villages-de-france.org/photos/s1694/castelnau-de-montmiral-vue-aerienne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/castelnau-de-montmiral/;Les Plus Beaux Villages de France
Castelnaud-la-Chapelle;Dordogne;44.8155;1.1492;https://media.les-plus-beaux-villages-de-france.org/photos/s1695/castelnaud-la-chapelle-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/castelnaud-la-chapelle/;Les Plus Beaux Villages de France
Castelnou;Pyrénées-Orientales;42.6195;2.7035;https://media.les-plus-beaux-villages-de-france.org/photos/s1696/castelnou-vue-village-et-montagne-enneigee.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/castelnou/;Les Plus Beaux Villages de France
Charroux;Allier;46.1853;3.1616;https://media.les-plus-beaux-villages-de-france.org/photos/s1637/charroux-vue-haute-facades.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/charroux/;Les Plus Beaux Villages de France
Château-Chalon;Jura;46.755;5.6267;https://media.les-plus-beaux-villages-de-france.org/photos/s1615/chateau-chalon-vue.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/chateau-chalon/;Les Plus Beaux Villages de France
Châteauneuf;Côte-d'Or;47.2183;4.6408;https://media.les-plus-beaux-villages-de-france.org/photos/s1616/chateauneuf-vue-chateau.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/chateauneuf/;Les Plus Beaux Villages de France
Coaraze;Alpes-Maritimes;43.8642;7.2953;https://media.les-plus-beaux-villages-de-france.org/photos/s1643/coaraze-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/coaraze/;Les Plus Beaux Villages de France
Collonges-la-Rouge;Corrèze;45.0612;1.6559;https://media.les-plus-beaux-villages-de-france.org/photos/s1697/collonges-la-rouge-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/collonges-la-rouge/;Les Plus Beaux Villages de France
Conques;Aveyron;44.5995;2.3975;https://media.les-plus-beaux-villages-de-france.org/photos/s1698/conques-ambiance-rue.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/conques/;Les Plus Beaux Villages de France
Crissay-sur-Manse;Indre-et-Loire;47.1501;0.4886;https://media.les-plus-beaux-villages-de-france.org/photos/s1595/crissay-sur-manse-demeure-renaissance.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/crissay-sur-manse/;Les Plus Beaux Villages de France
Curemonte;Corrèze;45.0009;1.7432;https://media.les-plus-beaux-villages-de-france.org/photos/s1700/curemonte-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/curemonte/;Les Plus Beaux Villages de France
Domme;Dordogne;44.802;1.2149;https://media.les-plus-beaux-villages-de-france.org/photos/s1701/domme-place-mairie.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/domme/;Les Plus Beaux Villages de France
Eguisheim;Haut-Rhin;48.0429;7.3061;https://media.les-plus-beaux-villages-de-france.org/photos/s1617/eguisheim-place-fontaine.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/eguisheim/;Les Plus Beaux Villages de France
Estaing;Aveyron;44.5554;2.672;https://media.les-plus-beaux-villages-de-france.org/photos/s1702/estaing-vue-lot-et-village.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/estaing/;Les Plus Beaux Villages de France
Eus;Pyrénées-Orientales;42.6438;2.4578;https://media.les-plus-beaux-villages-de-france.org/photos/s1703/eus-vue-village.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/eus/;Les Plus Beaux Villages de France
Evol;Pyrénées-Orientales;42.5689;2.2547;https://media.les-plus-beaux-villages-de-france.org/photos/s1704/evol-personnages-catalans.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/evol/;Les Plus Beaux Villages de France
Flavigny-sur-Ozerain;Côte-d'Or;47.5119;4.5314;https://media.les-plus-beaux-villages-de-france.org/photos/s1618/flavigny-sur-ozerain-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/flavigny-sur-ozerain/;Les Plus Beaux Villages de France
Fourcès;Gers;43.9929;0.2312;https://media.les-plus-beaux-villages-de-france.org/photos/s1706/fources-vue-aerienne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/fources/;Les Plus Beaux Villages de France
Gargilesse-Dampierre;Indre;46.5138;1.5974;https://media.les-plus-beaux-villages-de-france.org/photos/s1596/gargilesse-dampierre-christ-fresque-eglise.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/gargilesse-dampierre/;Les Plus Beaux Villages de France
Gassin;Var;43.2288;6.5861;https://media.les-plus-beaux-villages-de-france.org/photos/s1640/gassin-table-dorientation.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/gassin/;Les Plus Beaux Villages de France
Gerberoy;Oise;49.5342;1.8503;https://media.les-plus-beaux-villages-de-france.org/photos/s1597/gerberoy-vue-des-halles.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/gerberoy/;Les Plus Beaux Villages de France
Gordes;Vaucluse;43.911;5.201;https://media.les-plus-beaux-villages-de-france.org/photos/s1641/gordes-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/gordes/;Les Plus Beaux Villages de France
Gourdon;Alpes-Maritimes;43.7202;6.9785;https://media.les-plus-beaux-villages-de-france.org/photos/s1642/gourdon-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/gourdon/;Les Plus Beaux Villages de France
Grignan;Drôme;44.4195;4.908529167;https://media.les-plus-beaux-villages-de-france.org/photos/s3283/grignan.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/grignan/;Les Plus Beaux Villages de France
Hell-Bourg;Réunion;-21.0656790581;55.5190962097;https://media.les-plus-beaux-villages-de-france.org/photos/s1746/hell-bourg-vue-generale.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/hell-bourg/;Les Plus Beaux Villages de France
Hunawihr;Haut-Rhin;48.1806;7.3115;https://media.les-plus-beaux-villages-de-france.org/photos/s1619/hunawihr-vignes-et-eglise.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/hunawihr/;Les Plus Beaux Villages de France
Hunspach;Bas-Rhin;48.9537;7.9424;https://media.les-plus-beaux-villages-de-france.org/photos/s1620/hunspach-rue.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/hunspach/;Les Plus Beaux Villages de France
La Bastide-Clairence;Pyrénées-Atlantiques;43.4304;-1.2556;https://media.les-plus-beaux-villages-de-france.org/photos/s1682/la-bastide-clairence-vue-hauts-de-facades.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-bastide-clairence/;Les Plus Beaux Villages de France
La Couvertoirade;Aveyron;43.9128;3.3173;https://media.les-plus-beaux-villages-de-france.org/photos/s1699/la-couvertoirade-calvaire-et-rue.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-couvertoirade/;Les Plus Beaux Villages de France
La Flotte;Charente-Maritime;46.1871;-1.3249;https://media.les-plus-beaux-villages-de-france.org/photos/s1705/la-flotte-port.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-flotte/;Les Plus Beaux Villages de France
La Garde-Adhémar;Drôme;44.3925;4.7546;https://media.les-plus-beaux-villages-de-france.org/photos/s1638/garde-adhemar-la-eglise-et-jardin-des-herbes.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/la-garde-adhemar/;Les Plus Beaux Villages de France
